Referencia_Pedido;Fecha_Pedido;Fecha_Entrega;Fecha_Prevista;Fecha_Pago;Cliente;Vendedor;Equipo_Ventas;Subtotal;Impuestos;Total;Estado_Pedido;Estado_Factura;Cantidad
SO016;14/09/2018;24/09/2018;28/09/2018;2/10/2018;Cliente6;Yeny;Equipo Centro;3827000;727130;4554130;Pedido de venta;Facturado;1780
SO017;15/09/2018;28/09/2018;28/09/2018;9/10/2018;Cliente18;Lina;Equipo Especial;5031000;955890;5986890;Pedido de venta;Facturado;2340
SO018;16/09/2018;1/10/2018;29/09/2018;12/11/2018;Cliente8;Ricardo;Equipo Sur;4085000;776150;4861150;Pedido de venta;Facturado;1900
SO019;17/09/2018;30/09/2018;1/10/2018;9/10/2018;Cliente12;Nathalie;Equipo Oriente;3547500;674025;4221525;Pedido de venta;Facturado;1650
SO020;18/09/2018;2/10/2018;3/10/2018;15/11/2018;Cliente7;Carlos;Equipo Oriente;3874300;736117;4610417;Pedido de venta;Facturado;1802
SO021;19/09/2018;7/10/2018;2/10/2018;2/10/2018;Cliente10;Diana;Equipo Sur;3547500;674025;4221525;Pedido de venta;Facturado;1650
SO022;20/09/2018;8/10/2018;3/10/2018;19/11/2018;Cliente2;Carlos;Equipo Oriente;5009500;951805;5961305;Pedido de venta;Facturado;2330
SO023;21/09/2018;4/10/2018;5/10/2018;24/10/2018;Cliente3;Rocio;Equipo Sur;4145200;787588;4932788;Pedido de venta;Facturado;1928
SO024;22/09/2018;10/10/2018;30/09/2018;22/10/2018;Cliente13;Lina;Equipo Especial;5762000;1094780;6856780;Pedido de venta;Facturado;2680
SO025;23/09/2018;5/10/2018;4/10/2018;8/11/2018;Cliente18;Enrique;Equipo Sur;4945000;939550;5884550;Pedido de venta;Facturado;2300
SO026;24/09/2018;11/10/2018;2/10/2018;25/10/2018;Cliente17;Nathalie;Equipo Oriente;5598600;1063734;6662334;Pedido de venta;Facturado;2604
SO027;25/09/2018;6/10/2018;9/10/2018;9/10/2018;Cliente18;Ricardo;Equipo Sur;3891500;739385;4630885;Pedido de venta;Facturado;1810
SO028;26/09/2018;9/10/2018;11/10/2018;24/10/2018;Cliente9;Enrique;Equipo Sur;3695850;702212;4398062;Pedido de venta;Facturado;1719
SO029;27/09/2018;8/10/2018;11/10/2018;4/11/2018;Cliente9;Fabian;Equipo Sur;4942850;939142;5881992;Pedido de venta;Facturado;2299
SO030;28/09/2018;17/10/2018;9/10/2018;7/10/2018;Cliente10;Carlos;Equipo Oriente;3113200;591508;3704708;Pedido de venta;Facturado;1448
SO031;29/09/2018;13/10/2018;12/10/2018;10/11/2018;Cliente7;Lina;Equipo Especial;2687500;510625;3198125;Pedido de venta;Facturado;1250
SO032;30/09/2018;14/10/2018;11/10/2018;15/10/2018;Cliente6;Diana;Equipo Sur;5779200;1098048;6877248;Pedido de venta;Facturado;2688
SO033;1/10/2018;11/10/2018;10/10/2018;11/10/2018;Cliente2;Carlos;Equipo Oriente;4459100;847229;5306329;Pedido de venta;Facturado;2074
SO034;2/10/2018;21/10/2018;17/10/2018;2/11/2018;Cliente2;Enrique;Equipo Sur;2642350;502047;3144397;Pedido de venta;Facturado;1229
SO035;3/10/2018;16/10/2018;14/10/2018;16/10/2018;Cliente1;Enrique;Equipo Sur;3270150;621329;3891479;Pedido de venta;Facturado;1521
SO036;4/10/2018;15/10/2018;12/10/2018;14/10/2018;Cliente2;Ricardo;Equipo Sur;5026700;955073;5981773;Pedido de venta;Facturado;2338
SO037;5/10/2018;19/10/2018;13/10/2018;19/11/2018;Cliente13;Angelica;Equipo Oriente;3908700;742653;4651353;Pedido de venta;Facturado;1818
SO038;6/10/2018;25/10/2018;14/10/2018;11/11/2018;Cliente12;Ricardo;Equipo Sur;5273950;1002051;6276001;Pedido de venta;Facturado;2453
SO039;7/10/2018;24/10/2018;21/10/2018;20/10/2018;Cliente16;Nathalie;Equipo Oriente;3925900;745921;4671821;Pedido de venta;Facturado;1826
SO040;8/10/2018;21/10/2018;16/10/2018;2/12/2018;Cliente7;Jorge;Equipo Centro;5136350;975907;6112257;Pedido de venta;Facturado;2389
SO041;9/10/2018;23/10/2018;17/10/2018;18/10/2018;Cliente2;Angelica;Equipo Oriente;9214900;1750831;10965731;Pedido de venta;Facturado;4286
SO042;10/10/2018;29/10/2018;25/10/2018;19/11/2018;Cliente7;Nathalie;Equipo Oriente;4960050;942410;5902460;Pedido de venta;Facturado;2307
SO043;11/10/2018;24/10/2018;22/10/2018;29/11/2018;Cliente19;Jorge;Equipo Centro;6914400;1313736;8228136;Pedido de venta;Facturado;3216
SO044;12/10/2018;25/10/2018;24/10/2018;5/11/2018;Cliente2;Julian;Equipo Centro;8391450;1594376;9985826;Pedido de venta;Facturado;3903
SO045;13/10/2018;30/10/2018;24/10/2018;17/11/2018;Cliente2;Ricardo;Equipo Sur;6047950;1149111;7197061;Pedido de venta;Facturado;2813
SO046;14/10/2018;31/10/2018;28/10/2018;1/12/2018;Cliente4;Yeny;Equipo Centro;6781100;1288409;8069509;Pedido de venta;Facturado;3154
SO047;15/10/2018;25/10/2018;24/10/2018;9/11/2018;Cliente6;Diana;Equipo Sur;4207550;799435;5006985;Pedido de venta;Facturado;1957
SO048;16/10/2018;30/10/2018;26/10/2018;18/11/2018;Cliente15;David;Equipo Especial;4186050;795350;4981400;Pedido de venta;Facturado;1947
SO049;17/10/2018;3/11/2018;27/10/2018;12/12/2018;Cliente7;Carlos;Equipo Oriente;6834850;1298622;8133472;Pedido de venta;Facturado;3179
SO050;18/10/2018;30/10/2018;2/11/2018;13/12/2018;Cliente18;Julian;Equipo Centro;5280400;1003276;6283676;Pedido de venta;Facturado;2456
SO051;19/10/2018;5/11/2018;30/10/2018;23/11/2018;Cliente13;Lina;Equipo Especial;9120300;1732857;10853157;Pedido de venta;Facturado;4242
SO052;20/10/2018;30/10/2018;4/11/2018;18/12/2018;Cliente7;Julian;Equipo Centro;6361850;1208752;7570602;Pedido de venta;Facturado;2959
SO053;21/10/2018;4/11/2018;5/11/2018;20/12/2018;Cliente14;Angelica;Equipo Oriente;6740250;1280648;8020898;Pedido de venta;Facturado;3135
SO054;22/10/2018;3/11/2018;1/11/2018;7/11/2018;Cliente4;Angelica;Equipo Oriente;5312650;1009404;6322054;Pedido de venta;Facturado;2471
SO055;23/10/2018;12/11/2018;2/11/2018;11/12/2018;Cliente2;Nathalie;Equipo Oriente;6548900;1244291;7793191;Pedido de venta;Facturado;3046
SO056;24/10/2018;6/11/2018;5/11/2018;15/11/2018;Cliente13;Ricardo;Equipo Sur;7991550;1518395;9509945;Pedido de venta;Facturado;3717
SO057;25/10/2018;12/11/2018;7/11/2018;7/11/2018;Cliente13;Rocio;Equipo Sur;5383600;1022884;6406484;Pedido de venta;Facturado;2504
SO058;26/10/2018;11/11/2018;5/11/2018;8/12/2018;Cliente4;Diana;Equipo Sur;2844450;540446;3384896;Pedido de venta;Facturado;1323
SO059;27/10/2018;14/11/2018;7/11/2018;10/12/2018;Cliente3;Lina;Equipo Especial;7512100;1427299;8939399;Pedido de venta;Facturado;3494
SO060;28/10/2018;15/11/2018;6/11/2018;27/11/2018;Cliente12;Ricardo;Equipo Sur;7262700;1379913;8642613;Pedido de venta;Facturado;3378
SO061;29/10/2018;17/11/2018;12/11/2018;20/11/2018;Cliente8;Nathalie;Equipo Oriente;4106500;780235;4886735;Pedido de venta;Facturado;1910
SO062;30/10/2018;17/11/2018;9/11/2018;18/12/2018;Cliente2;Ricardo;Equipo Sur;4431150;841919;5273069;Pedido de venta;Facturado;2061
SO063;31/10/2018;16/11/2018;15/11/2018;14/12/2018;Cliente15;Lina;Equipo Especial;7430400;1411776;8842176;Pedido de venta;Facturado;3456
SO064;1/11/2018;15/11/2018;16/11/2018;23/11/2018;Cliente2;Angelica;Equipo Oriente;5183650;984894;6168544;Pedido de venta;Facturado;2411
SO065;2/11/2018;17/11/2018;13/11/2018;9/12/2018;Cliente2;Diana;Equipo Sur;6297350;1196497;7493847;Pedido de venta;Facturado;2929
SO066;3/11/2018;17/11/2018;13/11/2018;18/12/2018;Cliente7;Yeny;Equipo Centro;7772250;1476728;9248978;Pedido de venta;Facturado;3615
SO067;4/11/2018;15/11/2018;17/11/2018;12/11/2018;Cliente2;Carlos;Equipo Oriente;6697250;1272478;7969728;Pedido de venta;Facturado;3115
SO068;5/11/2018;16/11/2018;15/11/2018;27/11/2018;Cliente1;Lina;Equipo Especial;17421450;3310076;20731526;Pedido de venta;Facturado;8103
SO069;6/11/2018;19/11/2018;20/11/2018;26/12/2018;Cliente10;Lina;Equipo Especial;7699150;1462839;9161989;Pedido de venta;Facturado;3581
SO070;7/11/2018;21/11/2018;21/11/2018;24/11/2018;Cliente15;Angelica;Equipo Oriente;9120300;1732857;10853157;Pedido de venta;Facturado;4242
SO071;8/11/2018;18/11/2018;18/11/2018;4/12/2018;Cliente6;Ricardo;Equipo Sur;8711800;1655242;10367042;Pedido de venta;Facturado;4052
SO072;9/11/2018;28/11/2018;24/11/2018;29/12/2018;Cliente2;Ricardo;Equipo Sur;7262700;1379913;8642613;Pedido de venta;Facturado;3378
SO073;10/11/2018;27/11/2018;22/11/2018;9/01/2019;Cliente2;Enrique;Equipo Sur;9834100;1868479;11702579;Pedido de venta;Facturado;4574
SO074;11/11/2018;23/11/2018;19/11/2018;24/12/2018;Cliente6;David;Equipo Especial;7767950;1475911;9243861;Pedido de venta;Facturado;3613
SO075;12/11/2018;22/11/2018;25/11/2018;11/12/2018;Cliente7;Enrique;Equipo Sur;4364500;829255;5193755;Pedido de venta;Facturado;2030
SO076;13/11/2018;30/11/2018;24/11/2018;5/01/2019;Cliente4;Lina;Equipo Especial;13065550;2482455;15548005;Pedido de venta;Facturado;6077
SO077;14/11/2018;25/11/2018;25/11/2018;5/12/2018;Cliente9;Lina;Equipo Especial;5579250;1060058;6639308;Pedido de venta;Facturado;2595
SO078;15/11/2018;26/11/2018;26/11/2018;26/12/2018;Cliente4;Carlos;Equipo Oriente;15897100;3020449;18917549;Pedido de venta;Facturado;7394
SO079;16/11/2018;28/11/2018;1/12/2018;30/12/2018;Cliente7;Ricardo;Equipo Sur;10786550;2049445;12835995;Pedido de venta;Facturado;5017
SO080;17/11/2018;7/12/2018;29/11/2018;16/01/2019;Cliente2;Diana;Equipo Sur;9436350;1792907;11229257;Pedido de venta;Facturado;4389
SO081;18/11/2018;6/12/2018;1/12/2018;29/12/2018;Cliente6;Yeny;Equipo Centro;8735450;1659736;10395186;Pedido de venta;Facturado;4063
SO082;19/11/2018;8/12/2018;2/12/2018;3/12/2018;Cliente18;Lina;Equipo Especial;2461750;467733;2929483;Pedido de venta;Facturado;1145
SO083;20/11/2018;3/12/2018;2/12/2018;3/12/2018;Cliente8;Ricardo;Equipo Sur;2091950;397471;2489421;Pedido de venta;Facturado;973
SO084;21/11/2018;8/12/2018;4/12/2018;18/12/2018;Cliente12;Nathalie;Equipo Oriente;3179850;604172;3784022;Pedido de venta;Facturado;1479
SO085;22/11/2018;8/12/2018;6/12/2018;6/01/2019;Cliente7;Carlos;Equipo Oriente;3031500;575985;3607485;Pedido de venta;Facturado;1410
SO086;23/11/2018;7/12/2018;4/12/2018;12/12/2018;Cliente10;Diana;Equipo Sur;2195150;417079;2612229;Pedido de venta;Facturado;1021
SO087;24/11/2018;9/12/2018;6/12/2018;4/12/2018;Cliente2;Carlos;Equipo Oriente;4456950;846821;5303771;Pedido de venta;Facturado;2073
SO088;25/11/2018;8/12/2018;3/12/2018;22/01/2019;Cliente3;Rocio;Equipo Sur;3465800;658502;4124302;Pedido de venta;Facturado;1612
SO089;26/11/2018;14/12/2018;9/12/2018;6/12/2018;Cliente13;Lina;Equipo Especial;2186550;415445;2601995;Pedido de venta;Facturado;1017
SO090;27/11/2018;9/12/2018;10/12/2018;16/12/2018;Cliente18;Enrique;Equipo Sur;2444550;464465;2909015;Pedido de venta;Facturado;1137
SO091;28/11/2018;15/12/2018;13/12/2018;15/01/2019;Cliente17;Nathalie;Equipo Oriente;4254850;808422;5063272;Pedido de venta;Facturado;1979
SO092;29/11/2018;19/12/2018;10/12/2018;24/12/2018;Cliente18;Ricardo;Equipo Sur;3943100;749189;4692289;Pedido de venta;Facturado;1834
SO093;30/11/2018;16/12/2018;10/12/2018;5/01/2019;Cliente9;Enrique;Equipo Sur;3115350;591917;3707267;Pedido de venta;Facturado;1449
SO094;1/12/2018;13/12/2018;10/12/2018;29/12/2018;Cliente8;Nathalie;Equipo Oriente;3592650;682604;4275254;Pedido de venta;Facturado;1671
SO095;2/12/2018;16/12/2018;10/12/2018;5/01/2019;Cliente2;Ricardo;Equipo Sur;4828900;917491;5746391;Pedido de venta;Facturado;2246
SO096;3/12/2018;23/12/2018;13/12/2018;2/01/2019;Cliente15;Lina;Equipo Especial;5310500;1008995;6319495;Pedido de venta;Facturado;2470
SO097;4/12/2018;20/12/2018;14/12/2018;19/12/2018;Cliente2;Angelica;Equipo Oriente;4153800;789222;4943022;Pedido de venta;Facturado;1932
SO098;5/12/2018;21/12/2018;19/12/2018;2/01/2019;Cliente2;Diana;Equipo Sur;3979650;756134;4735784;Pedido de venta;Facturado;1851
SO099;6/12/2018;19/12/2018;16/12/2018;27/12/2018;Cliente7;Yeny;Equipo Centro;5179350;984077;6163427;Pedido de venta;Facturado;2409
SO100;7/12/2018;18/12/2018;15/12/2018;21/01/2019;Cliente2;Carlos;Equipo Oriente;4252700;808013;5060713;Pedido de venta;Facturado;1978
SO101;8/12/2018;25/12/2018;16/12/2018;25/01/2019;Cliente1;Lina;Equipo Especial;3528150;670349;4198499;Pedido de venta;Facturado;1641
SO102;9/12/2018;22/12/2018;18/12/2018;21/12/2018;Cliente10;Lina;Equipo Especial;4151650;788814;4940464;Pedido de venta;Facturado;1931
SO103;10/12/2018;20/12/2018;25/12/2018;29/12/2018;Cliente15;Angelica;Equipo Oriente;3500200;665038;4165238;Pedido de venta;Facturado;1628
SO104;11/12/2018;22/12/2018;23/12/2018;30/12/2018;Cliente6;Ricardo;Equipo Sur;5013800;952622;5966422;Pedido de venta;Facturado;2332
SO105;12/12/2018;28/12/2018;27/12/2018;5/02/2019;Cliente2;Ricardo;Equipo Sur;4171000;792490;4963490;Pedido de venta;Facturado;1940
SO106;13/12/2018;31/12/2018;26/12/2018;9/01/2019;Cliente2;Enrique;Equipo Sur;5734050;1089470;6823520;Pedido de venta;Facturado;2667
SO107;14/12/2018;3/01/2019;27/12/2018;12/01/2019;Cliente6;David;Equipo Especial;5009500;951805;5961305;Pedido de venta;Facturado;2330
SO108;15/12/2018;28/12/2018;23/12/2018;29/12/2018;Cliente7;Enrique;Equipo Sur;5564200;1057198;6621398;Pedido de venta;Facturado;2588
SO109;16/12/2018;27/12/2018;28/12/2018;10/01/2019;Cliente4;Lina;Equipo Especial;3850650;731624;4582274;Pedido de venta;Facturado;1791
SO110;17/12/2018;30/12/2018;28/12/2018;23/01/2019;Cliente9;Lina;Equipo Especial;3932350;747147;4679497;Pedido de venta;Facturado;1829
SO111;18/12/2018;28/12/2018;29/12/2018;27/12/2018;Cliente4;Carlos;Equipo Oriente;5162150;980809;6142959;Pedido de venta;Facturado;2401
SO112;19/12/2018;2/01/2019;27/12/2018;31/01/2019;Cliente7;Ricardo;Equipo Sur;3313150;629499;3942649;Pedido de venta;Facturado;1541
SO113;20/12/2018;2/01/2019;4/01/2019;14/01/2019;Cliente2;Diana;Equipo Sur;2640200;501638;3141838;Pedido de venta;Facturado;1228
SO114;21/12/2018;8/01/2019;2/01/2019;9/02/2019;Cliente6;Yeny;Equipo Centro;6011400;1142166;7153566;Pedido de venta;Facturado;2796
SO115;22/12/2018;9/01/2019;5/01/2019;25/01/2019;Cliente18;Lina;Equipo Especial;4560150;866429;5426579;Pedido de venta;Facturado;2121
SO116;23/12/2018;8/01/2019;3/01/2019;1/01/2019;Cliente8;Ricardo;Equipo Sur;2971300;564547;3535847;Pedido de venta;Facturado;1382
SO117;24/12/2018;9/01/2019;1/01/2019;13/01/2019;Cliente12;Nathalie;Equipo Oriente;3330350;632767;3963117;Pedido de venta;Facturado;1549
SO118;25/12/2018;10/01/2019;9/01/2019;2/01/2019;Cliente7;Carlos;Equipo Oriente;5342750;1015123;6357873;Pedido de venta;Facturado;2485
SO119;26/12/2018;11/01/2019;10/01/2019;4/02/2019;Cliente10;Diana;Equipo Sur;3882900;737751;4620651;Pedido de venta;Facturado;1806
SO120;27/12/2018;12/01/2019;7/01/2019;11/02/2019;Cliente2;Carlos;Equipo Oriente;5377150;1021659;6398809;Pedido de venta;Facturado;2501
SO121;28/12/2018;14/01/2019;12/01/2019;31/01/2019;Cliente3;Rocio;Equipo Sur;3940950;748781;4689731;Pedido de venta;Facturado;1833
SO122;29/12/2018;17/01/2019;10/01/2019;21/01/2019;Cliente13;Lina;Equipo Especial;5409400;1027786;6437186;Pedido de venta;Facturado;2516
SO123;30/12/2018;11/01/2019;9/01/2019;14/01/2019;Cliente18;Enrique;Equipo Sur;9161150;1740619;10901769;Pedido de venta;Facturado;4261
SO124;31/12/2018;11/01/2019;8/01/2019;19/02/2019;Cliente17;Nathalie;Equipo Oriente;5248150;997149;6245299;Pedido de venta;Facturado;2441
SO125;1/01/2019;14/01/2019;13/01/2019;28/01/2019;Cliente18;Ricardo;Equipo Sur;5820050;1105810;6925860;Pedido de venta;Facturado;2707
SO126;2/01/2019;15/01/2019;15/01/2019;22/02/2019;Cliente9;Enrique;Equipo Sur;3280900;623371;3904271;Pedido de venta;Facturado;1526
SO127;3/01/2019;20/01/2019;12/01/2019;23/01/2019;Cliente9;Fabian;Equipo Sur;2936900;558011;3494911;Pedido de venta;Facturado;1366
SO128;4/01/2019;17/01/2019;18/01/2019;26/02/2019;Cliente10;Carlos;Equipo Oriente;4644000;882360;5526360;Pedido de venta;Facturado;2160
SO129;5/01/2019;19/01/2019;15/01/2019;17/02/2019;Cliente7;Lina;Equipo Especial;5772750;1096823;6869573;Pedido de venta;Facturado;2685
SO130;6/01/2019;16/01/2019;20/01/2019;25/01/2019;Cliente6;Diana;Equipo Sur;2214500;420755;2635255;Pedido de venta;Facturado;1030
SO131;7/01/2019;23/01/2019;20/01/2019;19/02/2019;Cliente2;Carlos;Equipo Oriente;8956900;1701811;10658711;Pedido de venta;Facturado;4166
SO132;8/01/2019;19/01/2019;19/01/2019;7/02/2019;Cliente2;Enrique;Equipo Sur;5785650;1099274;6884924;Pedido de venta;Facturado;2691
SO133;9/01/2019;23/01/2019;20/01/2019;3/03/2019;Cliente1;Enrique;Equipo Sur;3104600;589874;3694474;Pedido de venta;Facturado;1444
SO134;10/01/2019;21/01/2019;22/01/2019;6/03/2019;Cliente2;Ricardo;Equipo Sur;4831050;917900;5748950;Pedido de venta;Facturado;2247
SO135;11/01/2019;23/01/2019;19/01/2019;1/02/2019;Cliente13;Angelica;Equipo Oriente;5785650;1099274;6884924;Pedido de venta;Facturado;2691
SO136;12/01/2019;1/02/2019;24/01/2019;16/02/2019;Cliente12;Ricardo;Equipo Sur;4287100;814549;5101649;Pedido de venta;Facturado;1994
SO137;13/01/2019;2/02/2019;22/01/2019;9/02/2019;Cliente16;Nathalie;Equipo Oriente;5628700;1069453;6698153;Pedido de venta;Facturado;2618
SO138;14/01/2019;24/01/2019;25/01/2019;13/03/2019;Cliente7;Jorge;Equipo Centro;5415850;1029012;6444862;Pedido de venta;Facturado;2519
SO139;15/01/2019;27/01/2019;30/01/2019;24/02/2019;Cliente2;Angelica;Equipo Oriente;6144700;1167493;7312193;Pedido de venta;Facturado;2858
SO140;16/01/2019;27/01/2019;24/01/2019;26/02/2019;Cliente7;Nathalie;Equipo Oriente;6368300;1209977;7578277;Pedido de venta;Facturado;2962
SO141;17/01/2019;30/01/2019;25/01/2019;15/02/2019;Cliente19;Jorge;Equipo Centro;7912000;1503280;9415280;Pedido de venta;Facturado;3680
SO142;18/01/2019;31/01/2019;30/01/2019;6/03/2019;Cliente2;Julian;Equipo Centro;7006850;1331302;8338152;Pedido de venta;Facturado;3259
SO143;19/01/2019;4/02/2019;30/01/2019;13/03/2019;Cliente2;Ricardo;Equipo Sur;9496550;1804345;11300895;Pedido de venta;Facturado;4417
SO144;20/01/2019;7/02/2019;1/02/2019;5/03/2019;Cliente4;Yeny;Equipo Centro;5609350;1065777;6675127;Pedido de venta;Facturado;2609
SO145;21/01/2019;5/02/2019;31/01/2019;12/02/2019;Cliente6;Diana;Equipo Sur;5645900;1072721;6718621;Pedido de venta;Facturado;2626
SO146;22/01/2019;11/02/2019;4/02/2019;15/02/2019;Cliente15;David;Equipo Especial;6308100;1198539;7506639;Pedido de venta;Facturado;2934
SO147;23/01/2019;6/02/2019;6/02/2019;9/02/2019;Cliente7;Carlos;Equipo Oriente;4203250;798618;5001868;Pedido de venta;Facturado;1955
SO148;24/01/2019;9/02/2019;4/02/2019;14/03/2019;Cliente18;Julian;Equipo Centro;6348950;1206301;7555251;Pedido de venta;Facturado;2953
SO149;25/01/2019;8/02/2019;5/02/2019;11/02/2019;Cliente13;Lina;Equipo Especial;4929950;936691;5866641;Pedido de venta;Facturado;2293
SO150;26/01/2019;13/02/2019;4/02/2019;24/02/2019;Cliente7;Julian;Equipo Centro;9322400;1771256;11093656;Pedido de venta;Facturado;4336
SO151;27/01/2019;7/02/2019;7/02/2019;27/02/2019;Cliente14;Angelica;Equipo Oriente;6346800;1205892;7552692;Pedido de venta;Facturado;2952
SO152;28/01/2019;14/02/2019;10/02/2019;9/02/2019;Cliente4;Angelica;Equipo Oriente;10365150;1969379;12334529;Pedido de venta;Facturado;4821
SO153;29/01/2019;15/02/2019;7/02/2019;23/03/2019;Cliente2;Nathalie;Equipo Oriente;6213500;1180565;7394065;Pedido de venta;Facturado;2890
SO154;30/01/2019;15/02/2019;7/02/2019;5/03/2019;Cliente13;Ricardo;Equipo Sur;3792600;720594;4513194;Pedido de venta;Facturado;1764
SO155;31/01/2019;10/02/2019;14/02/2019;8/02/2019;Cliente13;Rocio;Equipo Sur;9687900;1840701;11528601;Pedido de venta;Facturado;4506
SO156;1/02/2019;15/02/2019;9/02/2019;15/03/2019;Cliente4;Diana;Equipo Sur;5609350;1065777;6675127;Pedido de venta;Facturado;2609
SO157;2/02/2019;18/02/2019;17/02/2019;20/02/2019;Cliente3;Lina;Equipo Especial;4308600;818634;5127234;Pedido de venta;Facturado;2004
SO158;3/02/2019;15/02/2019;16/02/2019;10/03/2019;Cliente12;Ricardo;Equipo Sur;11091850;2107452;13199302;Pedido de venta;Facturado;5159
SO159;4/02/2019;21/02/2019;16/02/2019;3/03/2019;Cliente8;Nathalie;Equipo Oriente;7697000;1462430;9159430;Pedido de venta;Facturado;3580
SO160;5/02/2019;23/02/2019;20/02/2019;8/03/2019;Cliente2;Ricardo;Equipo Sur;4852550;921985;5774535;Pedido de venta;Facturado;2257
SO161;6/02/2019;23/02/2019;21/02/2019;17/02/2019;Cliente15;Lina;Equipo Especial;6503750;1235713;7739463;Pedido de venta;Facturado;3025
SO162;7/02/2019;17/02/2019;15/02/2019;17/02/2019;Cliente2;Angelica;Equipo Oriente;8976250;1705488;10681738;Pedido de venta;Facturado;4175
SO163;8/02/2019;21/02/2019;16/02/2019;21/02/2019;Cliente2;Diana;Equipo Sur;6589750;1252053;7841803;Pedido de venta;Facturado;3065
SO164;9/02/2019;24/02/2019;22/02/2019;14/03/2019;Cliente7;Yeny;Equipo Centro;6155450;1169536;7324986;Pedido de venta;Facturado;2863
SO165;10/02/2019;1/03/2019;22/02/2019;8/04/2019;Cliente2;Carlos;Equipo Oriente;4276350;812507;5088857;Pedido de venta;Facturado;1989
SO166;11/02/2019;23/02/2019;26/02/2019;25/02/2019;Cliente1;Lina;Equipo Especial;10180250;1934248;12114498;Pedido de venta;Facturado;4735
SO167;12/02/2019;25/02/2019;23/02/2019;24/03/2019;Cliente10;Lina;Equipo Especial;14099700;2678943;16778643;Pedido de venta;Facturado;6558
SO168;13/02/2019;3/03/2019;26/02/2019;23/03/2019;Cliente15;Angelica;Equipo Oriente;8926800;1696092;10622892;Pedido de venta;Facturado;4152
SO169;14/02/2019;5/03/2019;23/02/2019;8/04/2019;Cliente6;Ricardo;Equipo Sur;10556500;2005735;12562235;Pedido de venta;Facturado;4910
SO170;15/02/2019;3/03/2019;26/02/2019;30/03/2019;Cliente2;Ricardo;Equipo Sur;9393350;1784737;11178087;Pedido de venta;Facturado;4369
SO171;16/02/2019;4/03/2019;2/03/2019;2/04/2019;Cliente2;Enrique;Equipo Sur;10311400;1959166;12270566;Pedido de venta;Facturado;4796
SO172;17/02/2019;8/03/2019;26/02/2019;18/03/2019;Cliente6;David;Equipo Especial;12138900;2306391;14445291;Pedido de venta;Facturado;5646
SO173;18/02/2019;2/03/2019;2/03/2019;13/04/2019;Cliente7;Enrique;Equipo Sur;7931350;1506957;9438307;Pedido de venta;Facturado;3689
